state,gender,activity_code,count_distinct_person
"A & N Islands","male","Visual, literary and performing arts (as hobby)",1
"A & N Islands","male","Vending and trading of goods in household enterprises",21
"A & N Islands","male","Playing and sports with children",1
"A & N Islands","female","Instructing, teaching, training, helping children",1
"A & N Islands","male","Forestry and logging for the market in household enterprises",1
"A & N Islands","male","Other activities related to community- and organizationbased unpaid volunteering",1
"A & N Islands","male","Participating in collective religious practice",15
"A & N Islands","female","Other activities related to employment in household enterprises providing services",7
"A & N Islands","male","Providing paid business and professional services in household enterprises",13
"A & N Islands","female","Ironing/pressing/folding",33
"A & N Islands","male","Indoor cleaning",8
"A & N Islands","male","Preparing meals/snacks",6
"A & N Islands","male","Cleaning up after food preparation/meals/snacks",5
"A & N Islands","male","Hand/machine-washing",7
"A & N Islands","male","Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household members",8
"A & N Islands","male","Shopping for/purchasing of goods and related activities",9
"A & N Islands","male","Private prayer, meditation and other spiritual activities",13
"A & N Islands","male","Upkeep of indoor/outdoor plants, hedges, garden, grounds, landscape, etc.",4
"A & N Islands","female","Playing games and other pastime activities",16
"A & N Islands","female","Commuting",23
"A & N Islands","male","Do-it-yourself improvement, maintenance and repair of own dwelling",2
"A & N Islands","male","Providing paid repair, installation, maintenance and disposal in household enterprises",6
"A & N Islands","male","Travelling time related to socializing and communication, community participation and religious practice",11
"A & N Islands","female","Mending/repairing and care of clothes and shoes; cleaning and polishing shoes",6
"A & N Islands","male","Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods",2
"A & N Islands","female","Other activities related to food and meals management and preparation",5
"A & N Islands","male","Providing paid personal care services in household enterprises",1
"A & N Islands","male","Mining and quarrying for the market in household enterprises",1
"A & N Islands","male","Receiving health/medical care from others",2
"A & N Islands","male","Self-study for distance education course work (video, audio, online)",1
"A & N Islands","female","Daily pet care",1
"A & N Islands","female","Participating in community rites/events (non-religious) of weddings, funerals, births and similar rites-ofpassage",2
"A & N Islands","male","Participating in community rites/events (non-religious) of weddings, funerals, births and similar rites-ofpassage",1
"A & N Islands","female","Meetings and arrangements with schools and child care service providers",1
"A & N Islands","female","Other activities related to childcare and instruction",1
