gender,activity_code,avg_minutes,total_minutes,activity_count
"female","Eating meals/snack",34.898263027295286,492240,13466
"male","Eating meals/snack",34.45945945945946,428400,11756
"female","Personal hygiene and care",41.812788398154254,380580,8813
"female","Hand/machine-washing",58.843617920541,348060,5902
"female","Talking, conversing, chatting",64.22806194274989,410610,5531
"male","Commuting",37.315519377101396,210870,5389
"male","Personal hygiene and care",36.78015211879754,203100,5367
"female","Activities associated with reflecting, resting, relaxing",70.68277945619336,350940,4530
"female","Preparing meals/snacks",84.1315453384419,395250,4391
"male","Talking, conversing, chatting",73.33195535345185,354780,4302
"female","Cleaning up after food preparation/meals/snacks",39.31785195936139,162540,3959
"female","Caring for children including feeding, cleaning, physical care",57.94251734390485,292320,3957
"female","Private prayer, meditation and other spiritual activities",37.07554417413572,144780,3881
"male","School/university attendance",184.71606648199446,800190,3800
"female","Serving meals/snacks",37.863612147043156,142140,3595
"female","School/university attendance",184.0327868852459,673560,3261
"male","Travelling time related to learning",35.943309966473635,117930,3155
"female","Watching/listening to television and video",81.42991829038341,259110,2963
"female","Drying textiles and clothing",54.46153846153846,155760,2849
"male","Activities associated with reflecting, resting, relaxing",65.55290915277305,192660,2733
"female","Travelling time related to learning",35.534407027818446,97080,2649
"male","Growing of crops for the market in household enterprises",198.3205268935236,542010,2573
"male","Watching/listening to television and video",77.44241461477363,195000,2281
"male","Construction activities for the market in household enterprises",214.07191011235955,476310,2067
"female","Incidental sleep/naps",119.17302052785924,203190,1703
"female","Socializing/getting together/gathering activities",94.44821731748726,166890,1681
"male","Playing games and other pastime activities",100.24521531100478,167610,1499
"male","Socializing/getting together/gathering activities",95.40850776502363,141300,1389
"male","Vending and trading of goods in household enterprises",195.7704502219404,308730,1346
"female","Playing games and other pastime activities",90.34174125305127,111030,1068
"male","Homework, being tutored, course review, research and activities related to formal education",121.73410404624278,126360,961
"male","Incidental sleep/naps",123.19429198682766,112230,908
"female","Indoor cleaning",50.71342200725514,41940,823
"female","Homework, being tutored, course review, research and activities related to formal education",115.84507042253522,98700,793
"male","Private prayer, meditation and other spiritual activities",42.09895052473763,28080,665
"male","Employment in corporations, government and non-profit institutions",209.17808219178082,137430,595
"male","Drinking other than with meal or snack",48.445945945945944,28680,580
"female","Growing of crops for the market in household enterprises",190.52542372881356,112410,564
"female","Commuting",48.666666666666664,28470,520
"male","Transporting goods and passengers for pay or profit in household enterprises",212.36427320490367,121260,489
"male","Growing crops and kitchen gardening, for own final use",168.41201716738198,78480,454
"male","Other activities related to mass media use",68.4375,32850,450
"female","Farming of animals and production of animal products for own final use",71.70258620689656,33270,434
"male","Other activities related to employment in household enterprises providing services",209.24528301886792,99810,427
"male","Making and processing goods for the market in household enterprises",199.97727272727272,87990,407
"female","Other activities related to food and meals management and preparation",70.38147138964578,25830,360
"female","Playing and sports with children",69.74137931034483,24270,326
"female","Drinking other than with meal or snack",49.08227848101266,15510,315
